serialanon,fpLILEEflg,AHCIncomeEQ_LILEE,fpfullinc,fuelexpn,FuelCosteqFactor,EqAHCincDeciles_LILEE,elecmop,gasmop,aagph1819,FPGAP_LILEE_UNEQ,fpvuln,fpLILEEqdt,FPEERband,FPEERrating,DWtype,DWage,Ongas,CentralHeating,Mainfueltype,boiler,WallType,tenure4x,Loftins,EPC,SAP12,hhcompx,Ageyng,Ageold,Hhsize,ethhrp2x,Hhsick,Unoc,emphrp3x,ECO_AW,FloorArea,gorehs,HTHG,WHDBroad,FPGAP_LILEE,HousingCosts,fpbasinc,wathcost,spahcost,litecost,cookcost,fpflgb,fpflgf,FullincDeciles
18190018302,1,6572.413793,8062,1269.86,0.82,1,1,1,854,179.1117963,0,1,2,55.97,1,5,1,1,1,5,4,3,3,2,55.97,6,5,4,1,1,2,1,1,4,4,7,0,1,218.4290198,4250,8110,36.93,644.01,548.36,40.56,1,1,1
18190018356,0,23583,31383,872.19,1,6,1,1,2819,0,0,4,2,68.01,1,8,1,1,1,5,2,2,2,2,68.01,1,4,1,2,1,2,0,1,3,1,7,0,0,0,7800,32751,111.17,332.98,386.44,41.6,0,0,6
18190018363,0,19407.06522,36717,1422.15,1.21,4,1,1,3975,0,0,3,1,74.5,4,2,1,1,1,5,3,1,3,1,74.5,3,3,3,4,1,2,0,1,3,5,5,1,0,0,1008,38640,155.55,672.45,541.62,52.53,0,0,7
18190018381,0,16030,21250,1156.65,1,3,1,1,716,0,1,4,2,63.49,1,7,1,1,1,5,2,4,3,2,63.49,5,5,6,2,1,1,0,3,2,2,4,0,1,0,5220,22619,55.1,572.11,488.46,40.98,0,0,4
18190018468,0,43922.41379,28595,969.02,0.82,9,1,1,3328,0,0,4,2,66.03,2,4,1,1,1,5,1,1,3,2,66.03,6,5,4,1,1,2,1,1,3,3,9,0,0,0,3120,29699,88.68,446.95,396.72,36.67,0,0,6
18190018531,1,7526.760563,18368,1214.2,1.07,1,3,3,550,75.1257329,1,1,2,65.37,2,5,1,1,1,5,2,4,3,2,60.35,5,4,5,3,1,1,0,3,2,3,10,0,1,70.21096533,7680,16481,116.86,587.15,462.55,47.64,0,0,3
18190018604,0,16397.95918,22020,988.84,1.07,4,3,3,342,0,0,3,1,72.87,5,7,1,1,1,5,2,4,1,1,72.87,4,2,2,3,1,2,0,1,2,2,9,0,0,0,5950,18484,138.47,288.66,514.01,47.7,0,0,4
18190018670,0,24477.58621,18009,913.15,0.82,6,3,3,1815,0,1,4,2,62.07,1,5,1,1,1,5,1,1,2,2,62.07,6,5,3,1,1,1,1,1,3,2,2,1,0,0,3732,18934,72.38,432.29,373.14,35.34,0,0,3
18190018691,0,23667,23667,1230.98,1,6,1,1,7171,0,1,4,2,67.6,1,9,1,1,1,1,1,1,3,2,67.6,4,4,3,2,1,1,0,1,3,4,10,1,0,0,0,24872,143.09,488.94,554.92,44.03,0,0,4
18190018701,0,21063.73626,45308,1655.28,1.32,5,1,1,2274,0,0,3,1,74.2,3,6,1,1,1,4,1,1,3,1,74.2,3,2,3,5,1,2,0,1,3,5,9,0,0,0,6972,47382,125.99,467.86,1000.14,61.29,0,0,8
18190018724,0,11482.85714,24476,1088.32,1.21,2,3,3,835,0,0,2,1,70.92,5,8,1,1,1,4,2,2,1,1,70.92,3,2,2,4,1,2,0,1,3,2,10,1,0,0,8400,25774,160.59,253.92,619.17,54.64,0,0,5
18190018730,0,65008.33333,92410,1489.85,1.07,10,1,1,2624,0,0,3,1,70.19,4,9,1,1,1,1,1,1,3,1,70.19,3,2,3,3,1,2,0,1,3,5,10,0,0,0,14400,94369,191.03,539.61,708.85,50.36,0,0,10
18190018751,0,36356,36356,1116.36,1,8,1,1,2468,0,0,3,1,76.7,4,9,1,1,1,4,1,1,3,1,76.7,5,5,4,2,1,2,1,1,3,5,9,0,0,0,0,39493,106.89,352.67,613.98,42.82,0,0,7
18190018810,0,64573.57143,100000,2027.25,1.21,10,1,1,8192,0,0,4,2,58.16,4,3,1,1,1,4,4,1,3,2,58.16,3,2,3,4,1,2,1,1,3,5,9,0,0,0,19200,100000,184.91,891.32,895.88,55.14,0,0,10
18190018867,0,21169,33337,1018.64,1,5,2,88,451,0,1,3,1,72.1,5,7,0,1,3,-9,2,4,2,1,72.1,2,7,6,2,1,1,0,3,4,1,9,0,0,0,4836,28501,80.35,356.32,516.93,65.04,0,0,7
18190018918,1,4000,7312,1914.81,0.82,1,2,88,408,442.9761748,0,1,4,37.27,3,5,0,3,2,-9,3,3,3,4,37.27,6,5,4,1,1,2,1,1,4,3,4,0,1,540.2148473,4992,6116,256.36,1210.34,394.48,53.63,1,1,1
18190018930,1,6731.034483,13324,798.86,0.82,1,1,1,1286,10.23023115,1,1,2,67.61,4,9,1,1,1,1,1,2,3,2,62.41,7,6,5,1,1,2,1,3,1,3,5,0,1,12.47589164,9420,10402,84.85,391.44,287.64,34.93,0,0,2
18190018934,0,32598.57143,55262,1659.69,1.21,8,1,1,3093,0,1,4,2,62.85,3,6,1,1,1,5,2,1,3,2,62.85,3,1,3,4,1,2,0,1,3,5,6,0,0,0,9624,57026,144.9,726.35,734.93,53.51,0,0,9
18190018945,0,36249,36249,1057.27,1,8,1,1,1290,0,1,3,1,68.68,4,9,1,1,1,5,1,1,3,1,68.68,2,6,5,2,1,1,0,3,3,2,4,0,0,0,0,37920,106.93,393.24,509.77,47.33,0,0,7
18190019024,0,27470.40816,34571,1536.48,1.07,7,1,1,912,0,0,4,2,56.09,1,3,1,1,1,5,4,2,2,2,56.09,4,2,3,3,1,2,0,3,3,3,2,1,0,0,7650,32621,120.42,795.37,572.64,48.05,0,0,7
18190019049,0,25308.02469,45159,1112.25,1.21,6,3,3,479,0,1,3,1,71.97,3,5,1,1,1,5,1,3,3,1,71.97,5,1,5,4,1,2,0,1,4,2,4,0,0,0,4160,46212,156.06,350.88,552.56,52.75,0,0,8
18190019057,0,27075,27075,1379.96,1,7,1,1,1167,0,1,4,2,62.93,2,2,1,1,1,5,4,1,2,2,62.93,5,6,6,2,1,2,0,1,3,4,10,0,0,0,0,28324,99.02,729.25,507.66,44.03,0,0,5
18190019141,1,6424,10674,1261.02,1,1,3,3,476,62.11234702,0,1,2,66.13,5,5,1,1,1,5,1,3,2,2,66.13,5,5,4,2,1,2,0,2,4,3,4,0,1,62.11234702,4250,7597,100.02,657.99,462.04,40.97,1,1,1
18190019148,0,35708,35708,1319.15,1,8,1,1,3557,0,0,4,2,62.85,3,2,1,1,1,5,4,1,3,2,62.85,5,4,4,2,1,2,0,1,3,4,8,0,0,0,0,37401,117.65,654.04,504.68,42.78,0,0,7
18190019163,0,9483,18557,985.46,1,2,1,1,667,0,1,2,1,71.61,3,5,1,1,1,5,1,4,3,1,71.61,4,4,4,2,1,1,0,3,2,3,9,0,1,0,4784,13998,100.82,399.61,442.21,42.82,0,0,3
18190019176,0,12971.28713,36224,1649.11,1.32,3,3,3,615,0,1,2,1,68.58,3,4,1,1,1,4,1,3,3,1,68.58,3,1,3,5,1,1,0,3,2,4,4,0,1,0,4250,33062,196.21,563.58,824.79,64.53,0,0,7
18190019286,1,10274.28571,19280,1424.63,1.21,2,1,1,1008,81.59876856,0,1,2,65.88,3,5,1,1,1,5,1,4,3,2,65.88,3,2,3,4,1,2,0,1,4,3,5,0,0,67.43699881,4896,20437,81.93,507.26,782.91,52.53,0,0,3
18190019312,1,13632.39437,34898,1340.18,1.07,3,1,1,927,235.7643211,0,1,2,58.18,1,2,1,1,1,4,4,2,2,2,58.18,5,5,3,3,1,2,0,1,3,3,7,0,0,220.340487,15540,36590,153.88,607.52,531.2,47.58,0,0,7
18190019318,0,24497.8022,49866,1808.25,1.32,6,3,3,1709,0,1,4,2,56.5,2,2,1,1,1,5,4,1,2,2,56.5,3,2,3,5,1,1,0,1,3,4,9,0,0,0,5280,51186,178.04,843.88,726.64,59.69,0,0,9
18190019362,1,11636.2069,12937,823.08,0.82,2,3,3,729,51.09691148,1,1,2,65.01,6,3,1,1,1,5,4,3,1,2,58,7,7,6,1,2,1,0,3,2,1,6,0,1,62.31330668,3588,9349,80.87,517.4,189.94,34.87,0,0,2
18190019379,0,22134,22134,2794.94,1,5,1,88,1471,0,0,4,4,20.92,3,3,0,1,3,4,4,2,2,4,20.92,1,4,1,2,1,2,1,1,3,5,4,0,0,0,0,22134,195.01,1879.3,662.88,57.75,1,1,4
18190019398,0,16322.23721,10533,1331.02,0.82,4,2,88,664,0,0,4,3,40.28,5,6,1,1,1,2,1,2,1,3,40.28,6,5,3,1,1,2,0,1,3,2,7,1,1,0,1066.102418,11705,194.46,652.13,430.71,53.72,1,1,1
18190019402,0,26913.55932,39918,1064.4,1.21,7,1,1,658,0,1,3,1,77.48,2,9,1,1,1,4,5,4,3,1,77.48,4,1,2,4,2,2,0,1,4,3,5,0,0,0,8160,41065,163.17,260.71,587.99,52.53,0,0,8
